id,crop_label,soil_ph,temperature_c,soil_conductivity_dsm,moisture_paw_percent,data_origin,profile_version,generation_run_id
feb1a911-6e5c-42dd-ac6c-821f953afed9,Mango,6.73,29.0,0.94,69.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
d98b7bda-bd53-406c-8341-cc75cbadc0c5,Mango,6.5,25.2,3.28,69.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f7441069-3110-426f-803f-409a08c05632,Mango,6.74,25.7,2.43,71.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
cba50870-9590-4e48-8425-9ad8a09ea275,Mango,6.13,28.1,1.98,69.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
94f47e9a-a6de-4270-8865-d3d8c14934ae,Mango,7.31,27.3,0.88,55.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
e1984eb0-fa8f-4a89-845a-b2d264a9278b,Mango,5.98,26.2,2.64,63.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
d34c2130-3109-472d-8777-66ddd36ef0bc,Mango,7.02,27.9,0.71,75.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
fceafc4d-e86e-4901-8865-6d5bbf7a80dd,Mango,6.24,26.8,2.77,73.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
17c2fbef-077f-424a-8a8e-9970c324af00,Mango,6.37,26.3,1.2,63.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
47eef487-5b09-475d-bf30-d22e4659c0de,Mango,6.94,26.4,3.82,72.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
4f01b0a7-cdab-4797-ad84-1b649e5333d9,Mango,7.19,28.6,1.56,61.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
82ab5db2-da9a-4fd7-9d72-eabc115368af,Mango,5.89,27.9,1.98,68.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
db389e20-9983-4d2a-b759-b557987180c2,Mango,6.69,27.7,2.44,62.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f7b76ce8-ca39-46bd-86f9-e1eb9ea1ce1c,Mango,6.58,27.1,1.44,73.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ff29b71e-a3b5-48bb-a767-6aebdffca8c2,Mango,6.0,26.8,3.14,65.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2d314ec6-5395-48d9-8dd1-33216f42deac,Mango,6.77,25.9,2.23,67.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
b31db9d1-d1e1-4741-bcb8-17cf1e59bba5,Mango,6.03,28.8,0.52,55.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
